preprocess,seed,objective_final,objective_delta_last10,objective_still_changing,fit_sec,cluster_frac_min,cluster_frac_mid,cluster_frac_max,margin_mean,margin_median,margin_p10,margin_p25,margin_lt_0p01_frac
pca64_l2,3,0.18275225162506104,1.0132789611816406e-06,0,0.16400363808497787,0.3294068634078725,0.33002573310777017,0.3405674034843573,0.21897420287132263,0.20951014757156372,0.04725176468491554,0.11550341546535492,0.020539219080973
pca64_l2,4,0.18321794271469116,0.0,0,0.16419576294720173,0.30742214937953644,0.3364914375035038,0.35608641311695977,0.21983611583709717,0.1990266740322113,0.042744722217321396,0.10535094141960144,0.023502758531992705
pca64_l2,5,0.18300586938858032,2.9802322387695312e-08,0,0.1637807870283723,0.326024515154613,0.32806799432354683,0.34590749052184017,0.21773946285247803,0.20347927510738373,0.04564424604177475,0.10995037853717804,0.021686821153252142
pca64_l2,6,0.181443452835083,0.00012969970703125,1,0.16403669165447354,0.30930843784316764,0.3328991352312737,0.3577924269255587,0.2171114981174469,0.1981165111064911,0.04356968775391579,0.1055040955543518,0.022881690360692212
pca64_l2,7,0.18088503181934357,0.0,0,0.16389686428010464,0.3278514448903677,0.33293321153801764,0.33921534357161465,0.2153215855360031,0.20223218202590942,0.045618802309036255,0.11144626140594482,0.02169781351026631
pca64_l2,8,0.18214118480682373,4.1604042053222656e-05,1,0.16402252204716206,0.3151310893535725,0.3353647209095516,0.34950418973687597,0.21593695878982544,0.19268746674060822,0.04261409491300583,0.10150523483753204,0.02317408705726908
pca64_l2,9,0.1811937391757965,0.0,0,0.16353096393868327,0.30832132418329533,0.33239018910151774,0.3592884867151869,0.2161676585674286,0.20934900641441345,0.04881875216960907,0.11591708660125732,0.020279799455438632
pca64_l2,10,0.18474537134170532,3.6954879760742188e-06,0,0.16400260711088777,0.31474305915097234,0.3297388325897004,0.3555181082593273,0.22858461737632751,0.21627074480056763,0.05018622428178787,0.1234244555234909,0.020096227093302027
pca64_l2,11,0.18262887001037598,4.470348358154297e-08,0,0.164476724807173,0.3023986422240616,0.33936483962700736,0.35823651814893104,0.2156536728143692,0.20369188487529755,0.045618150383234024,0.11150271445512772,0.02222214893984213
pca64_l2,12,0.18287554383277893,1.043081283569336e-07,0,0.16428534965962172,0.3161577754986958,0.3409378459157348,0.34290437858556944,0.21839645504951477,0.2050759345293045,0.04890557378530502,0.11516299843788147,0.020596379337446673
pca64_l2,13,0.17994488775730133,0.0,0,0.1646433360874653,0.2922922691852355,0.35321520946485907,0.3544925213499054,0.21108010411262512,0.19443321228027344,0.04201647266745567,0.1041540876030922,0.02407326186102803
pca64_l2,14,0.18410970270633698,1.3113021850585938e-06,0,0.16443488700315356,0.322595999001894,0.33703775764710797,0.3403662433509981,0.22647197544574738,0.212921604514122,0.04622393473982811,0.11342374980449677,0.021983614792634682
pca64_l2,15,0.1811559796333313,3.2782554626464844e-07,0,0.16464762995019555,0.32740185748848827,0.33393681373341116,0.33866132877810057,0.2198772430419922,0.2059462070465088,0.04438063129782677,0.10910061001777649,0.02234856104550506
pca64_l2,16,0.18369464576244354,1.4007091522216797e-06,0,0.1644748798571527,0.33167898360270104,0.33312447855006416,0.3351965378472348,0.22216634452342987,0.2121768742799759,0.04499044641852379,0.10955536365509033,0.022270515310704467
pca64_l2,17,0.184073343873024,9.5367431640625e-07,0,0.16407928802073002,0.3104890169864893,0.32825046744998204,0.3612605155635287,0.22066712379455566,0.20958442986011505,0.04756569862365723,0.1143110916018486,0.020870089027099456
