experiment_directory,category,total_files,json_files,csv_files,npz_files,log_files
tworoom_success_rate_global_ft_50ep_trainseed625_exp6_seed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_global_ft_50ep_trainseed625_exp6_seed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_global_ft_50ep_trainseed625_exp6_seed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_global_ft_50ep_trainseed625_exp6_seed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_global_ft_50ep_trainseed625_exp6_seed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_global_ft_50ep_trainseed_status,Task-success evaluation,2,0,0,0,0
tworoom_success_rate_global_ft_65ep_exp8_exp6_seed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_global_ft_65ep_exp8_exp6_seed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_global_ft_65ep_exp8_exp6_seed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_global_ft_65ep_exp8_exp6_seed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_global_ft_65ep_exp8_exp6_seed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_global_ft_65ep_seed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_global_ft_65ep_seed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_global_ft_65ep_seed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_global_ft_65ep_seed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_global_ft_65ep_seed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_joint_continue_3ep_trainseed0_long_evalseed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_joint_continue_3ep_trainseed0_long_evalseed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_joint_continue_3ep_trainseed0_long_evalseed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_joint_continue_3ep_trainseed0_long_evalseed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_joint_continue_3ep_trainseed0_long_evalseed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_joint_continue_3ep_trainseed42_long_evalseed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_joint_continue_3ep_trainseed42_long_evalseed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_joint_continue_3ep_trainseed42_long_evalseed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_joint_continue_3ep_trainseed42_long_evalseed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_joint_continue_3ep_trainseed42_long_evalseed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_joint_continue_3ep_trainseed625_long_evalseed0,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_joint_continue_3ep_trainseed625_long_evalseed1,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_joint_continue_3ep_trainseed625_long_evalseed2,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_joint_continue_3ep_trainseed625_long_evalseed3,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_joint_continue_3ep_trainseed625_long_evalseed4,Task-success evaluation,3,1,0,0,1
tworoom_success_rate_latent_kmeanspp_kmeanspp_R50_outer0_seed0,Task-success evaluation,3,1,0,0,1
