task,num_clusters,partition_seed,normalized_cluster_entropy,eigengap_after_k,prototype_distance_ratio,knn_purity,margin_radius_ratio_mean,tangent_contrast_mean_d8,curvature_tail_mean_d8,flow_persistence_h10,latent_velocity_eta2,action_residual_velocity_eta2,affine_response_contrast_ratio,minimum_pairwise_response,pairwise_uniformity_min_over_mean,response_centroid_spearman,response_boundary_spearman,boundary_min_jacobian_bures_distance,jacobian_bures_distance,jacobian_cosine_distance,jacobian_log_scale_distance,jacobian_subspace_chordal_distance,check1_retained_safety_fraction,check2_prominence_ratio
reacher,4,2,0.9999488374737334,0.0005732243115544877,1.1095705032348633,0.9716233333333333,10.452898025512695,0.4714506833351342,0.000701257243834034,0.8716747957429712,4.781908336128353e-05,4.783151347067171e-05,0.006496391996360947,0.010667087826548264,0.6143835405292366,0.7714285714285715,0.942857142857143,0.6133463031810757,0.4724622711606105,0.8142688477560422,6.991017498853717e-05,0.8881198199588515,0.9809641077793886,0.0500767439869136
cube,2,0,0.9999958845021127,0.0051601801493348365,1.1623938083648682,0.98046,4.979455947875977,0.25421134252540406,0.007023540961851819,0.9535582336335958,0.0001327652991319257,0.00015865604776497044,0.035177928774005926,0.13786138495711805,1.0,,,0.07608093387196867,0.4415466189734986,0.6797763511263719,0.21078213082612557,0.6429816281856554,0.9964754470901319,0.3283684026376352
cube,2,1,0.9999958845021127,0.0051601801493348365,1.1623938083648682,0.9806916666666666,5.032090187072754,0.2324261738999101,0.0073765690982568344,0.9542668859048531,0.00013039615032600185,0.00015824946407514074,0.03513215206862795,0.13770312441744387,1.0,,,0.06752063244931322,0.44599390481616363,0.6796641467326531,0.20636034349947951,0.6438747784597838,0.9964754470901319,0.3283684026376352
cube,2,2,0.9999958845021127,0.0051601801493348365,1.1623938083648682,0.9813016666666666,5.072900295257568,0.24494420439350678,0.007154743130911528,0.9540793328225353,0.00013579655743064828,0.00016463922564614067,0.03562363270898025,0.13962002297417442,1.0,,,0.06762831688477015,0.4488586705938881,0.6812116428383084,0.2248280325852025,0.6444142426373355,0.9964754470901319,0.3283684026376352
cube,3,0,0.992294556394242,0.0029608964836025375,1.289671540260315,0.9593883333333333,4.017302989959717,0.2091675428714578,0.0074039533968138045,0.9133542057180246,0.0002472123877590338,0.0003106342053280608,0.0764364523420082,0.12580782562880918,0.5364714449435223,0.5,0.5,0.2293044912969815,0.35105271501945234,0.5376325056748785,0.19144490571355766,0.6176709600593638,0.9800250976158262,-0.0359666870916205
cube,3,1,0.992294556394242,0.0029608964836025375,1.289671540260315,0.95923,4.050148010253906,0.20926813292509228,0.00731801973821217,0.9166299908035052,0.00023281366549940662,0.0002938506129391642,0.07751254887955952,0.1257808154225264,0.5230961674301065,0.5,0.5,0.2029739714255888,0.3493592499035478,0.5366762483514687,0.20334593741378995,0.6138994305107334,0.9800250976158262,-0.0359666870916205
cube,3,2,0.992294556394242,0.0029608964836025375,1.289671540260315,0.9600783333333334,4.080820560455322,0.21041410594649015,0.0072436275351095,0.9166784775378543,0.00023369138121796243,0.0002959834996714629,0.07841694175727,0.12511012518939565,0.5101780128363563,0.5,0.5,0.20173773194218828,0.3535835288478108,0.5338621173262827,0.21317345360494433,0.6133295992427519,0.9800250976158262,-0.0359666870916205
cube,4,0,0.9809096026346931,0.0019242723486039282,1.306040644645691,0.94389,3.429696798324585,0.19822792094126615,0.007127458139849201,0.8940815280461125,0.00027981765386945437,0.00037984350685082627,0.09096021673711153,0.11956126909328223,0.5060213709572021,0.08571428571428573,0.6571428571428573,0.13466590943326476,0.22792352323379808,0.43969846495370013,0.037009831374493735,0.5689453854407478,0.9645804279080352,-0.1841822496446458
cube,4,1,0.9809096026346931,0.0019242723486039282,1.306040644645691,0.9437183333333333,3.446185827255249,0.20359958281512702,0.00691434799032878,0.8937964686738399,0.0002663372031115635,0.00036235642702466415,0.08988808135616635,0.1137372076771908,0.48509242011413967,-0.14285714285714288,0.6,0.10543467655664127,0.20490312987281184,0.4192388107519851,0.03730106839063128,0.5675756237451935,0.9645804279080352,-0.1841822496446458
cube,4,2,0.9809096026346931,0.0019242723486039282,1.306040644645691,0.944475,3.431636333465576,0.19362223484837957,0.0070693072381866565,0.8946047585200783,0.0002732056655793731,0.0003713321537710693,0.09318700510174098,0.11956272314393256,0.49180518704743775,0.08571428571428573,0.6571428571428573,0.12973616956811407,0.21763280242826166,0.43911768938672946,0.0330663723636139,0.5623070491334563,0.9645804279080352,-0.1841822496446458
