task,model,num_clusters,partition_seed,region_left,region_right,q_ij,pair_weight,intercept_contribution,orientation_contribution
pusht,subjepa,4,2,1,3,0.31694888855118014,0.1144420010121687,0.004079301713336952,4.488891279307418e-05
pusht,subjepa,4,2,2,3,0.30339739514187886,0.10060236257930973,0.004700386450518473,2.7111697529585858e-05
reacher,subjepa,2,0,0,1,0.1255285696047011,1.0,0.011390352608003158,0.7489412822879642
reacher,subjepa,2,1,0,1,0.1272939648663413,1.0,0.01086290518288325,0.7454110879559782
reacher,subjepa,2,2,0,1,0.1262534892269112,1.0,0.011506121861243399,0.747490948518609
reacher,subjepa,3,0,0,1,0.2081586637273808,0.37139660066843416,0.00291240267924073,0.21677755460883955
reacher,subjepa,3,0,0,2,0.1944064296175104,0.3724976810200068,0.0031559756499901603,0.22764747408082858
reacher,subjepa,3,0,1,2,0.319922667771933,0.2561057183115588,0.0011035254024216663,0.02157106448752983
reacher,subjepa,3,1,0,1,0.20468090514373807,0.37544776929418433,0.0034810435724981045,0.22175368204612025
reacher,subjepa,3,1,0,2,0.316408219419441,0.25346580053964085,0.0010074430228004451,0.023959354566821148
reacher,subjepa,3,1,1,2,0.20351257271205506,0.37108643016617476,0.0029772475886677926,0.21995390884851107
reacher,subjepa,3,2,0,1,0.19739664494121553,0.3825590570100217,0.003046873341645465,0.23152676623825144
reacher,subjepa,3,2,0,2,0.3278513998802699,0.25576760391363546,0.0010508606740590829,0.02428156132547348
reacher,subjepa,3,2,1,2,0.21740043086598984,0.3616733390763428,0.00298675109150881,0.20434577276213678
reacher,subjepa,4,0,0,1,0.3544543288358582,0.1669493557489077,0.0007784282086977378,0.04852700199983212
reacher,subjepa,4,0,0,2,0.2395107050361654,0.1607825616044146,0.0007941910212514546,0.08373399001673379
reacher,subjepa,4,0,0,3,0.34640589154041546,0.16322363518738864,0.000624182518834539,0.012607830018450127
reacher,subjepa,4,0,1,2,0.34871434967835885,0.17016230968656124,0.0006008851519346889,0.013873640815037136
reacher,subjepa,4,0,1,3,0.2320528366355798,0.17236031037692334,0.001120348114579058,0.09233468494253988
reacher,subjepa,4,0,2,3,0.3445048567424308,0.16652182739580443,0.0007569800386716717,0.05174919291899941
reacher,subjepa,4,1,0,1,0.24149159716798851,0.16776471079230898,0.0008124592567540412,0.08673600429762447
reacher,subjepa,4,1,0,2,0.3490406696778469,0.16841976634531292,0.0007707235484905339,0.05084311898080139
reacher,subjepa,4,1,0,3,0.3379173084453134,0.1617859918137407,0.000586868100899027,0.014049881342921384
reacher,subjepa,4,1,1,2,0.3555744991629593,0.17082815769809406,0.0005485879944054793,0.01317090665585804
reacher,subjepa,4,1,1,3,0.3415792346329303,0.1653101114909042,0.0007797349134931201,0.05234767800133255
reacher,subjepa,4,1,2,3,0.24482619875384268,0.16589126185963907,0.0010581052047153488,0.0846493765349829
reacher,subjepa,4,2,0,1,0.324473636099325,0.1607748792366629,0.0005576957204854167,0.013289778209213067
reacher,subjepa,4,2,0,2,0.343148013089332,0.1656793462959033,0.0008030179359940448,0.051957956394837315
reacher,subjepa,4,2,0,3,0.23623113558178926,0.16692351240780443,0.0008094241808454427,0.08805284767205643
reacher,subjepa,4,2,1,2,0.24630429069818488,0.16659307387626218,0.0010310674061394338,0.08451176557245897
