task,num_clusters,partition_seed,region_left,region_right,left_transition_count,right_transition_count,pairwise_response_contrast,pairwise_mean_action_contrast,pairwise_action_slope_contrast
cube,3,0,0,1,561061,763005,0.06733708759620437,0.0007178704047446204,0.06661921719145975
cube,3,0,0,2,561061,656086,0.06571312198076046,0.0006949936345057129,0.06501812834625474
cube,3,0,1,2,763005,656086,0.06447752851950289,0.0005441163650280028,0.06393341215447489
cube,3,1,0,1,762062,557784,0.06621816041938713,0.0006857482330090713,0.06553241218637806
cube,3,1,0,2,762062,660306,0.06315825883114107,0.0005246007479588484,0.06263365808318222
cube,3,1,1,2,557784,660306,0.06495195883588309,0.0006706031596041848,0.0642813556762789
cube,3,2,0,1,648721,778326,0.06251521642398265,0.0005185732006893094,0.06199664322329334
cube,3,2,0,2,648721,553105,0.06511137254339704,0.0006786835547848947,0.06443268898861214
cube,3,2,1,2,778326,553105,0.06521423838179963,0.0006773504410773328,0.06453688794072229
cube,4,0,0,1,544027,666264,0.07132742289522208,0.0007234090352701712,0.07060401385995191
cube,4,0,0,2,544027,408716,0.08716719152122665,0.0008029376700806507,0.086364253851146
cube,4,0,0,3,544027,361145,0.0868499737567587,0.0010444737521924981,0.0858055000045662
cube,4,0,1,2,666264,408716,0.088100792022774,0.0006026099830140117,0.08749818203976
cube,4,0,1,3,666264,361145,0.08753442574849933,0.0008903514456424482,0.08664407430285688
cube,4,0,2,3,408716,361145,0.09447112500627058,0.0010320812835688993,0.09343904372270169
cube,4,1,0,1,561783,458519,0.07968464666606694,0.0008081306778224174,0.07887651598824452
cube,4,1,0,2,561783,475376,0.07375331434262829,0.0008047389942704242,0.07294857534835786
cube,4,1,0,3,561783,484474,0.08787298382934845,0.0006864624498059853,0.08718652137954247
cube,4,1,1,2,458519,475376,0.08373837892595344,0.0010347391082562362,0.08270363981769721
cube,4,1,1,3,458519,484474,0.09012051236355942,0.0007296734534880515,0.08939083891007137
cube,4,1,2,3,475376,484474,0.0912785621579806,0.0007996146256204368,0.09047894753236016
cube,4,2,0,1,456412,466514,0.08432046567489938,0.0009682539126888134,0.08335221176221057
cube,4,2,0,2,456412,500599,0.08819189864045329,0.0007254062929367027,0.08746649234751659
cube,4,2,0,3,456412,556627,0.08083859865237811,0.0008046362032150564,0.08003396244916305
cube,4,2,1,2,466514,500599,0.08788133926839689,0.0007994541221354025,0.08708188514626149
cube,4,2,1,3,466514,556627,0.07395375467562564,0.0007822204765401888,0.07317153419908545
cube,4,2,2,3,500599,556627,0.08538300412840276,0.0006842218764734393,0.08469878225192932
