task,num_clusters,partition_seed,region_left,region_right,left_transition_count,right_transition_count,pairwise_response_contrast,pairwise_mean_action_contrast,pairwise_action_slope_contrast,jacobian_cosine_distance,jacobian_log_scale_distance,jacobian_subspace_chordal_distance,jacobian_bures_distance
cube,3,0,0,2,561061,656086,0.06571312198076046,0.0006949936345057129,0.06501812834625474,0.7445116120596361,0.02283989354219715,0.889601061702181,0.7134261582032768
cube,3,0,1,2,763005,656086,0.06447752851950289,0.0005441163650280028,0.06393341215447489,0.7740001471672764,0.033188825861861754,0.8472957322597144,0.5745248874351954
cube,3,1,0,1,762062,557784,0.06621816041938713,0.0006857482330090713,0.06553241218637806,0.7802743082908284,0.0598440540131793,0.863544392443566,0.6003458916727088
cube,3,1,0,2,762062,660306,0.06315825883114107,0.0005246007479588484,0.06263365808318222,0.7665453582768703,0.033897339076447174,0.8482273879478548,0.5693880989014407
cube,3,1,1,2,557784,660306,0.06495195883588309,0.0006706031596041848,0.0642813556762789,0.7412306679293849,0.025946714936732132,0.8887391493934521,0.7094525063580546
cube,3,2,0,1,648721,778326,0.06251521642398265,0.0005185732006893094,0.06199664322329334,0.7621535424860335,0.04765833317669347,0.850511435106491,0.5696238810731385
cube,3,2,0,2,648721,553105,0.06511137254339704,0.0006786835547848947,0.06443268898861214,0.7397370900273155,0.021900795218529685,0.8869939392515367,0.7068191551175218
cube,3,2,1,2,778326,553105,0.06521423838179963,0.0006773504410773328,0.06453688794072229,0.7749317332377063,0.06955912839522313,0.8649660184523192,0.6032037665080571
cube,4,0,0,1,544027,666264,0.07132742289522208,0.0007234090352701712,0.07060401385995191,0.7944088690715433,0.01946543643029209,0.8619948827387361,0.6003056463488001
cube,4,0,0,2,544027,408716,0.08716719152122665,0.0008029376700806507,0.086364253851146,0.7901528002674573,0.16955952616642578,0.9190261450810482,0.7649853103416082
cube,4,0,0,3,544027,361145,0.0868499737567587,0.0010444737521924981,0.0858055000045662,0.7894757883637203,0.16488748012688267,0.9155284858627757,0.7697032042754961
cube,4,0,1,2,666264,408716,0.088100792022774,0.0006026099830140117,0.08749818203976,0.8132298179898774,0.18902496259671803,0.8761894707773447,0.6543830293706344
cube,4,0,1,3,666264,361145,0.08753442574849933,0.0008903514456424482,0.08664407430285688,0.8098481686677276,0.1843529165571748,0.8944338439107455,0.6579860694422336
cube,4,0,2,3,408716,361145,0.09447112500627058,0.0010320812835688993,0.09343904372270169,0.7381387370189901,0.004672046039543178,0.8980725431502655,0.7107811815772522
cube,4,1,0,1,561783,458519,0.07968464666606694,0.0008081306778224174,0.07887651598824452,0.7885083878732909,0.07190120924605986,0.8977782161414877,0.6892825920648487
cube,4,1,0,2,561783,475376,0.07375331434262829,0.0008047389942704242,0.07294857534835786,0.7627358242745464,0.02969986009121253,0.9007721305355308,0.7389702219018908
cube,4,1,0,3,561783,484474,0.08787298382934845,0.0006864624498059853,0.08718652137954247,0.8038193471571338,0.14338169599695988,0.8947016333465434,0.6548606376278567
cube,4,1,1,2,458519,475376,0.08373837892595344,0.0010347391082562362,0.08270363981769721,0.8043148774583855,0.04220134915484727,0.9071440648828497,0.6784514026099441
cube,4,1,1,3,458519,484474,0.09012051236355942,0.0007296734534880515,0.08939083891007137,0.7742343519299266,0.07148048675090002,0.897473446100644,0.7423511307449523
cube,4,1,2,3,475376,484474,0.0912785621579806,0.0007996146256204368,0.09047894753236016,0.813667608243005,0.11368183590574739,0.901941695243734,0.6973144837868132
cube,4,2,0,1,456412,466514,0.08432046567489938,0.0009682539126888134,0.08335221176221057,0.8066046947903673,0.044323065359742994,0.9041280417561182,0.6907813359838694
cube,4,2,0,2,456412,500599,0.08819189864045329,0.0007254062929367027,0.08746649234751659,0.7700145464588607,0.04988423240604076,0.8948917583191476,0.739825475664435
cube,4,2,0,3,456412,556627,0.08083859865237811,0.0008046362032150564,0.08003396244916305,0.7965600480235917,0.07469650384325438,0.8931783045436914,0.6891037097937027
cube,4,2,1,2,466514,500599,0.08788133926839689,0.0007994541221354025,0.08708188514626149,0.7982266234710416,0.09420729776578367,0.9013137432549114,0.6843019260305565
cube,4,2,1,3,466514,556627,0.07395375467562564,0.0007822204765401888,0.07317153419908545,0.763470682938886,0.030373438483511612,0.8983038573023583,0.7393937486193927
cube,4,2,2,3,500599,556627,0.08538300412840276,0.0006842218764734393,0.08469878225192932,0.7970075881423222,0.12458073624929522,0.891294844684399,0.6519684988928894
