model,task,varied_factor,varied_value,K,rho,c_pert,c_bg,num_landmarks,B,diagnostic_seeds,nominal_knn,perturb_knn,candidate_gap_min,perturbation_threshold_max,S,R_K,T_bg,safety_margin,prominence_margin,safety_pass,background_pass,decision,reason,agreement_with_baseline,elapsed_sec,cache_hit
subjepa,reacher,rho,0.6,3,0.6,2.0,3.0,20000,3,"0,1,2",30,"27,33",0.01902772360435159,0.006589662947029319,0.653680961314664,0.01243806065732227,0.3167419315603566,0.053680961314664044,-0.30430387090303435,True,False,global,residual_gap_not_above_background,True,0.0018791999900713563,True
subjepa,reacher,c_pert,1.5,3,0.5,1.5,3.0,20000,3,"0,1,2",30,"27,33",0.01902772360435159,0.004942247210271989,0.7402607209859979,0.0140854763940796,0.3167419315603566,0.24026072098599793,-0.30265645516627704,True,False,global,residual_gap_not_above_background,True,0.0018914330285042524,True
subjepa,reacher,c_pert,2.0,3,0.5,2.0,3.0,20000,3,"0,1,2",30,"27,33",0.01902772360435159,0.006589662947029319,0.653680961314664,0.01243806065732227,0.3167419315603566,0.15368096131466402,-0.30430387090303435,True,False,global,residual_gap_not_above_background,True,0.0018751389579847455,True
subjepa,reacher,c_pert,2.5,3,0.5,2.5,3.0,20000,3,"0,1,2",30,"27,33",0.01902772360435159,0.008237078683786649,0.56710120164333,0.01079064492056494,0.3167419315603566,0.06710120164333,-0.3059512866397917,True,False,global,residual_gap_not_above_background,True,0.0018833400099538267,True
subjepa,reacher,c_bg,2.5,3,0.5,2.0,2.5,20000,3,"0,1,2",30,"27,33",0.01902772360435159,0.006589662947029319,0.653680961314664,0.01243806065732227,0.27589442869989905,0.15368096131466402,-0.26345636804257677,True,False,global,residual_gap_not_above_background,True,0.0018805799772962928,True
subjepa,reacher,c_bg,3.0,3,0.5,2.0,3.0,20000,3,"0,1,2",30,"27,33",0.01902772360435159,0.006589662947029319,0.653680961314664,0.01243806065732227,0.3167419315603566,0.15368096131466402,-0.30430387090303435,True,False,global,residual_gap_not_above_background,True,0.0018879349809139967,True
subjepa,reacher,c_bg,3.5,3,0.5,2.0,3.5,20000,3,"0,1,2",30,"27,33",0.01902772360435159,0.006589662947029319,0.653680961314664,0.01243806065732227,0.35758943442081415,0.15368096131466402,-0.34515137376349186,True,False,global,residual_gap_not_above_background,True,0.0018821059493348002,True
subjepa,reacher,M,10000,3,0.5,2.0,3.0,10000,3,"0,1,2",30,"27,33",0.01842799023248278,0.0031858002728403015,0.8271216647800945,0.01524218995964248,0.2869970405767995,0.3271216647800945,-0.271754850617157,True,False,global,residual_gap_not_above_background,True,0.001904322998598218,False
subjepa,reacher,M,15000,3,0.5,2.0,3.0,15000,3,"0,1,2",30,"27,33",0.017883555132539496,0.00543098445465548,0.6963140486102961,0.012452570677884016,0.297196860154309,0.1963140486102961,-0.284744289476425,True,False,global,residual_gap_not_above_background,True,0.0020139130065217614,False
subjepa,reacher,M,20000,3,0.5,2.0,3.0,20000,3,"0,1,2",30,"27,33",0.01902772360435159,0.006589662947029319,0.653680961314664,0.01243806065732227,0.3167419315603566,0.15368096131466402,-0.30430387090303435,True,False,global,residual_gap_not_above_background,True,0.00212610000744462,True
subjepa,reacher,B,3,3,0.5,2.0,3.0,20000,3,"0,1,2",30,"27,33",0.01902772360435159,0.006589662947029319,0.653680961314664,0.01243806065732227,0.3167419315603566,0.15368096131466402,-0.30430387090303435,True,False,global,residual_gap_not_above_background,True,0.00191867898683995,True
subjepa,reacher,B,5,3,0.5,2.0,3.0,20000,5,"0,1,2,3,4",30,"27,33",0.01902772360435159,0.006589662947029319,0.653680961314664,0.01243806065732227,0.3167419315603566,0.15368096131466402,-0.30430387090303435,True,False,global,residual_gap_not_above_background,True,0.0031279450049623847,False
subjepa,reacher,B,10,3,0.5,2.0,3.0,20000,10,"0,1,2,3,4,5,6,7,8,9",30,"27,33",0.01902772360435159,0.0069961629880878895,0.6323173946836245,0.0120315606162637,0.4047762544728424,0.13231739468362447,-0.3927446938565787,True,False,global,residual_gap_not_above_background,True,0.00619193899910897,False
subjepa,reacher,kNN,"center=27,perturb=(24, 30)",3,0.5,2.0,3.0,20000,3,"0,1,2",27,"24,30",0.018600776840669447,0.006361307247040281,0.6580085175189201,0.012239469593629166,0.35544063620215405,0.1580085175189201,-0.3432011666085249,True,False,global,residual_gap_not_above_background,True,0.001912139996420592,False
subjepa,reacher,kNN,"center=30,perturb=(27, 33)",3,0.5,2.0,3.0,20000,3,"0,1,2",30,"27,33",0.01902772360435159,0.006589662947029319,0.653680961314664,0.01243806065732227,0.3167419315603566,0.15368096131466402,-0.30430387090303435,True,False,global,residual_gap_not_above_background,True,0.0020336410379968584,True
subjepa,reacher,kNN,"center=33,perturb=(30, 36)",3,0.5,2.0,3.0,20000,3,"0,1,2",33,"30,36",0.02232255507786625,0.006589662947029319,0.7047979980766965,0.01573289213083693,0.3167419315603566,0.20479799807669652,-0.3010090394295197,True,False,global,residual_gap_not_above_background,True,0.0018998029991053045,False
subjepa,cube,baseline,baseline,3,0.5,2.0,3.0,20000,3,"0,1,2",30,"27,33",0.2892261958175934,0.0057772650284023674,0.9800250976158262,0.28344893078919103,0.3194156178808116,0.48002509761582624,-0.03596668709162054,True,False,global,residual_gap_not_above_background,True,0.0021375559736043215,True
subjepa,cube,K,2,2,0.5,2.0,3.0,20000,3,"0,1,2",30,"27,33",0.7083759349726525,0.0024967084628884084,0.9964754470901319,0.7058792265097641,0.37751082387212886,0.4964754470901319,0.3283684026376352,True,True,spectral,spectrally_nondegenerate,False,0.0019160039955750108,False
subjepa,cube,K,3,3,0.5,2.0,3.0,20000,3,"0,1,2",30,"27,33",0.2892261958175934,0.0057772650284023674,0.9800250976158262,0.28344893078919103,0.3194156178808116,0.48002509761582624,-0.03596668709162054,True,False,global,residual_gap_not_above_background,True,0.0018819159595295787,True
subjepa,cube,K,4,4,0.5,2.0,3.0,20000,3,"0,1,2",30,"27,33",0.13559521926038412,0.004802724643918954,0.9645804279080352,0.13079249461646517,0.31497474426111105,0.4645804279080352,-0.18418224964464588,True,False,global,residual_gap_not_above_background,True,0.0018887019832618535,False
subjepa,cube,K,5,5,0.5,2.0,3.0,20000,3,"0,1,2",30,"27,33",0.12014408455859113,0.005860474496546031,0.9512212813633115,0.1142836100620451,0.25852663082129657,0.4512212813633115,-0.14424302075925147,True,False,global,residual_gap_not_above_background,True,0.0018781289691105485,False
subjepa,cube,rho,0.4,3,0.4,2.0,3.0,20000,3,"0,1,2",30,"27,33",0.2892261958175934,0.0057772650284023674,0.9800250976158262,0.28344893078919103,0.3194156178808116,0.5800250976158262,-0.03596668709162054,True,False,global,residual_gap_not_above_background,True,0.001886133977677673,True
subjepa,cube,rho,0.5,3,0.5,2.0,3.0,20000,3,"0,1,2",30,"27,33",0.2892261958175934,0.0057772650284023674,0.9800250976158262,0.28344893078919103,0.3194156178808116,0.48002509761582624,-0.03596668709162054,True,False,global,residual_gap_not_above_background,True,0.0018657469772733748,True
