model,task,horizon,method,point_estimate,bootstrap_mean,bootstrap_std,ci_low,ci_high,n_train_seeds,n_partition_seeds,n_eval_blocks,episodes_per_block,n_bootstrap,resampling_unit,status
subjepa,reacher,short,Auto-LAP,85.06666666666666,85.08140533333334,2.3775569941841095,80.53333333333333,90.0,3,0,5,50,50000,eval-block,ok
subjepa,tworoom,long,Official Sub-JEPA,57.2,57.225975999999996,2.735578996743468,51.6,62.4,0,0,5,50,50000,eval-block,ok
subjepa,tworoom,long,Global-FT50,58.53333333333333,58.540669333333334,2.1890113965475626,54.266666666666666,62.8,3,0,5,50,50000,eval-block,ok
subjepa,tworoom,long,K-means++,57.86666666666667,57.87795644444444,2.0384839749741386,53.911111111111126,61.86666666666666,3,3,5,50,50000,eval-block,ok
subjepa,tworoom,long,Spectral,58.26666666666667,58.269991999999995,1.8449798109063578,54.79999999999999,62.04444444444444,3,3,5,50,50000,eval-block,ok
subjepa,tworoom,long,Auto-LAP,58.666666666666664,58.66838933333332,2.154332783840665,54.8,63.2,3,1,5,50,50000,eval-block,ok
subjepa,tworoom,short,Official Sub-JEPA,94.0,93.99443199999999,0.9809225236357866,92.0,95.6,0,0,5,50,50000,eval-block,ok
subjepa,tworoom,short,Global-FT50,94.8,94.796056,0.5968662611949916,93.6,96.0,3,0,5,50,50000,eval-block,ok
subjepa,tworoom,short,K-means++,93.86666666666666,93.86308177777777,0.8113844701793309,92.13333333333334,95.24444444444444,3,3,5,50,50000,eval-block,ok
subjepa,tworoom,short,Spectral,93.95555555555556,93.94973866666665,0.9303005864168877,92.0,95.6,3,3,5,50,50000,eval-block,ok
subjepa,tworoom,short,Auto-LAP,93.86666666666667,93.86109866666665,0.998871684362133,91.86666666666666,95.6,3,1,5,50,50000,eval-block,ok
