task,seed,knn,global_idx,umap_1,umap_2,aligned_cluster,agrees_with_nominal
tworoom,0,27,33905,-3.26874995,11.55812740,2,1
tworoom,0,27,34009,14.25812912,11.04663849,3,1
tworoom,0,27,34014,14.39611530,10.33077049,3,1
tworoom,0,27,34039,8.46722221,8.40742397,3,1
tworoom,0,27,34076,-0.79278773,6.00794554,2,1
tworoom,0,27,34117,-2.16367149,1.44315219,1,1
tworoom,0,27,34136,3.95166540,-3.28695774,1,1
tworoom,0,27,34168,10.43638325,3.53200841,3,1
tworoom,0,27,34338,3.53875399,-0.92849129,1,1
tworoom,0,27,34397,15.11759758,5.52083015,3,1
tworoom,0,27,34447,8.07797241,12.05002499,3,1
tworoom,0,27,34474,9.66680241,5.35133743,3,1
tworoom,0,27,34505,-5.59117556,1.46055746,2,1
tworoom,0,27,34582,14.55520725,1.32663381,3,1
tworoom,0,27,34609,-0.40722665,15.20171070,2,1
tworoom,0,27,34680,7.68345356,4.00638771,3,1
tworoom,0,27,34729,-1.90145123,4.65327740,2,1
tworoom,0,27,34740,2.00920153,-2.15345955,1,1
tworoom,0,27,34763,11.48491859,5.48314381,3,1
tworoom,0,27,34778,3.04941988,-3.76851320,1,1
tworoom,0,27,34840,-2.91587758,-0.32839435,1,1
tworoom,0,27,34843,-3.30221868,0.12772012,1,1
tworoom,0,27,34929,7.42714691,7.42527580,3,1
tworoom,0,27,35027,2.97505903,-2.47013593,1,1
tworoom,0,27,35068,10.53608322,8.50329590,3,1
tworoom,0,27,35139,2.00186276,-6.30079603,1,1
tworoom,0,27,35178,13.79208469,-1.97075868,1,1
tworoom,0,27,35182,13.62557125,-2.75682569,1,1
tworoom,0,27,35258,6.97199535,-5.31091022,1,1
tworoom,0,27,35260,7.76838350,-4.97275543,1,1
tworoom,0,27,35264,2.14964366,-3.95389581,1,1
tworoom,0,27,35293,15.05551720,1.98716760,3,1
tworoom,0,27,35333,-5.64153194,1.76499975,2,1
tworoom,0,27,35454,-1.37324250,10.61463928,2,1
tworoom,0,27,35461,-4.45776796,11.44222832,2,1
tworoom,0,27,35479,1.59096062,5.96159601,2,1
tworoom,0,27,35544,-0.42312279,15.05288792,2,1
tworoom,0,27,35674,10.70425701,-3.84087777,1,1
tworoom,0,27,35737,8.63427639,6.98605776,3,1
tworoom,0,27,35763,8.12530613,-2.84479737,1,1
tworoom,0,27,35874,1.32181275,4.26232386,2,1
tworoom,0,27,35979,6.01204300,-0.50422782,1,1
tworoom,0,27,35985,5.44068670,-4.93224287,1,1
tworoom,0,27,36043,8.21443939,4.31866074,3,1
tworoom,0,27,36057,2.10208774,4.64389992,2,1
tworoom,0,27,36078,-2.79352856,15.66431427,2,1
tworoom,0,27,36117,16.09102631,10.51536560,3,1
tworoom,0,27,36144,7.02315283,-0.25383949,1,1
tworoom,0,27,36202,15.04827785,0.69490761,1,1
tworoom,0,27,36234,4.37122917,-3.28551841,1,1
tworoom,0,27,36239,4.00702667,-5.99901390,1,1
tworoom,0,27,36272,0.08929186,-4.04079151,1,1
tworoom,0,27,36376,8.31463242,9.27446747,3,1
tworoom,0,27,36382,11.16046238,11.13569260,3,1
tworoom,0,27,36388,13.37438202,9.68094921,3,1
tworoom,0,27,36407,-1.05967128,10.10300541,2,1
tworoom,0,27,36412,-2.00354743,9.90577316,2,1
tworoom,0,27,36435,7.42842579,7.41722012,3,1
tworoom,0,27,36591,13.00073147,10.59059143,3,1
tworoom,0,27,36640,6.07241249,-0.79442918,1,1
tworoom,0,27,36653,-0.07680082,-0.25457799,1,1
tworoom,0,27,36766,-1.59764397,2.52543235,2,1
tworoom,0,27,36768,0.82696426,0.33985901,1,1
tworoom,0,27,36771,-2.13807940,1.76344216,2,1
tworoom,0,27,36866,1.64866722,5.72300100,2,1
tworoom,0,27,36870,0.42761937,6.09277725,2,1
tworoom,0,27,36910,8.35385895,1.26027858,1,1
tworoom,0,27,36927,7.01758528,-0.24360447,1,1
tworoom,0,27,36954,-0.38712931,3.78306961,2,1
tworoom,0,27,36955,0.45211104,4.68578482,2,1
tworoom,0,27,37010,10.12328148,15.84646320,3,1
tworoom,0,27,37097,-4.98669624,2.35787725,2,1
tworoom,0,27,37138,1.78239512,-6.33749151,1,1
tworoom,0,27,37156,6.17241430,-1.27635729,1,1
tworoom,0,27,37286,1.81491041,-2.08356905,1,1
tworoom,0,27,37291,5.21702671,-3.72331762,1,1
tworoom,0,27,37297,3.83540845,-3.64794326,1,1
tworoom,0,27,37379,-2.26950812,11.49814320,2,1
tworoom,0,27,37388,-0.87252605,12.81882954,2,1
tworoom,0,27,37430,-3.99301934,15.09082508,2,1
tworoom,0,27,37490,-0.53845447,7.09141731,2,1
tworoom,0,27,37627,3.93186998,-3.12510514,1,1
tworoom,0,27,37662,-0.18467674,12.33839512,2,1
tworoom,0,27,37678,-2.23697472,11.29687500,2,1
tworoom,0,27,37694,-1.11186469,8.03450012,2,1
tworoom,0,27,37713,-0.69567811,4.69946480,2,1
tworoom,0,27,37790,8.48789024,4.83069420,3,1
tworoom,0,27,37989,-1.50063694,3.06828308,2,1
tworoom,0,27,38010,-3.67173719,10.96253395,2,1
tworoom,0,27,38049,-1.36198509,7.82104969,2,1
tworoom,0,27,38106,12.30822563,-4.16051579,1,1
tworoom,0,27,38202,15.73776054,7.89577150,3,1
tworoom,0,27,38235,14.31817818,5.16894102,3,1
tworoom,0,27,38298,-3.07517648,0.11363874,1,1
tworoom,0,27,38328,0.57344693,3.26102328,2,1
tworoom,0,27,38355,0.93961561,-2.27948403,1,1
tworoom,0,27,38425,11.72483444,3.77245760,3,1
tworoom,0,27,38439,5.65835714,-4.40408230,1,1
tworoom,0,27,38456,-2.35187173,3.24608874,2,1
tworoom,0,27,38524,-1.13827991,8.06700325,2,1
tworoom,0,27,38538,1.29334366,-4.54583502,1,1
tworoom,0,27,38570,-2.62829518,2.55869174,2,1
tworoom,0,27,38585,1.76708102,-2.12958241,1,1
tworoom,0,27,38598,4.32499743,-3.84628296,1,1
tworoom,0,27,38642,-4.32194471,5.63577223,2,1
tworoom,0,27,38667,-0.57043701,-0.47727147,1,1
tworoom,0,27,38687,1.32077730,-3.47502136,1,1
tworoom,0,27,38703,7.53004599,4.36970282,3,1
tworoom,0,27,38923,13.33420849,8.31483364,3,1
tworoom,0,27,38976,0.26991087,2.82277560,2,1
tworoom,0,27,39063,-0.38793004,4.43190384,2,1
tworoom,0,27,39073,0.49462926,-3.77232480,1,1
tworoom,0,27,39086,4.48729897,-3.97428179,1,1
tworoom,0,27,39099,11.50994396,-3.95859599,1,1
tworoom,0,27,39109,-2.05812025,13.27622986,2,1
tworoom,0,27,39122,-1.93595016,13.25665474,2,1
tworoom,0,27,39134,-2.50416541,11.43590927,2,1
tworoom,0,27,39167,-3.58234715,6.03461027,2,1
tworoom,0,27,39196,-2.26350474,4.87595510,2,1
tworoom,0,27,39199,-1.58857334,7.32548761,2,1
tworoom,0,27,39256,1.48184884,-6.57883549,1,1
tworoom,0,27,39305,12.01436710,3.11889005,3,1
tworoom,0,27,39309,11.12849426,5.03161860,3,1
tworoom,0,27,39326,0.73380065,-0.89903831,1,1
tworoom,0,27,39337,-2.27582169,8.77326012,2,1
tworoom,0,27,39388,0.63603777,3.27160621,2,1
tworoom,0,27,39393,2.17074752,-4.51983023,1,1
tworoom,0,27,39410,2.07531095,-5.36658144,1,1
tworoom,0,27,39434,3.64208150,-3.32707715,1,1
tworoom,0,27,39472,1.21384442,6.57514048,2,1
tworoom,0,27,39480,2.04502726,-3.86879420,1,1
tworoom,0,27,39594,-0.78327149,-2.39994478,1,1
tworoom,0,27,39596,0.24408524,-3.09942198,1,1
tworoom,0,27,39876,11.13777637,0.38421589,1,1
tworoom,0,27,40021,15.45491791,1.20826268,3,1
tworoom,0,27,40089,14.78747082,7.03502989,3,1
tworoom,0,27,40143,16.09183121,13.34980965,3,1
tworoom,0,27,40148,16.11616516,13.34846020,3,1
tworoom,0,27,40153,16.02898979,13.47457981,3,1
tworoom,0,27,40285,-4.38528442,3.28221631,2,1
tworoom,0,27,40290,-4.63860655,3.32163501,2,1
tworoom,0,27,40291,-4.87893343,3.23822832,2,1
tworoom,0,27,40401,-5.68155909,1.63946760,2,1
tworoom,0,27,40418,-3.46083951,0.01192566,1,1
tworoom,0,27,40419,-2.85967731,-0.27924764,1,1
tworoom,0,27,40429,1.69818819,-3.28283882,1,1
tworoom,0,27,40474,-1.14334357,-1.22991359,1,1
tworoom,0,27,40492,4.58653402,-0.76666170,1,1
tworoom,0,27,40512,-0.02640215,-6.35919905,1,1
tworoom,0,27,40593,-2.25800848,7.91566467,2,1
tworoom,0,27,40654,-4.92070293,6.42267513,2,1
tworoom,0,27,40659,-4.95480347,5.63746023,2,1
tworoom,0,27,40710,14.63127136,5.37407398,3,1
tworoom,0,27,40715,15.19887638,5.31910896,3,1
tworoom,0,27,40770,10.72601032,13.46230793,3,1
tworoom,0,27,40773,10.76171875,12.93841171,3,1
tworoom,0,27,40853,2.59538364,2.30381107,1,1
tworoom,0,27,40872,3.43066597,-3.16760802,1,1
tworoom,0,27,40874,5.40765524,-4.65789795,1,1
tworoom,0,27,40908,14.15332222,0.16583583,1,1
tworoom,0,27,40926,11.56647015,15.16272545,3,1
tworoom,0,27,40955,10.27605438,13.72355556,3,1
tworoom,0,27,40976,9.21372032,7.34318161,3,1
tworoom,0,27,41035,15.80915356,13.27283192,3,1
tworoom,0,27,41054,15.42514896,12.24179459,3,1
tworoom,0,27,41056,15.49539471,12.24653721,3,1
tworoom,0,27,41062,14.87885380,10.79840851,3,1
tworoom,0,27,41156,-3.16422868,9.74387646,2,1
tworoom,0,27,41191,-0.97633463,9.38943291,2,1
tworoom,0,27,41212,7.99976826,-1.21818650,1,1
tworoom,0,27,41324,1.21776044,-3.66882634,1,1
tworoom,0,27,41328,3.22179651,-5.13865852,1,1
tworoom,0,27,41355,8.20421124,0.91402858,1,1
tworoom,0,27,41446,10.67711353,10.27466106,3,1
tworoom,0,27,41596,-0.41508108,6.35468102,2,1
tworoom,0,27,41609,-4.35700417,13.19231796,2,1
tworoom,0,27,41699,14.05840492,13.98183727,3,1
tworoom,0,27,41783,15.82147312,13.82840824,3,1
tworoom,0,27,41804,15.63198471,12.60341549,3,1
tworoom,0,27,41900,-4.24745750,15.93534756,2,1
tworoom,0,27,42030,13.84344673,8.38882065,3,1
tworoom,0,27,42052,14.73828411,14.35131931,3,1
