task,method,num_clusters,partition_seed,region,train_transitions,heldout_transitions,heldout_mse,heldout_response_energy,normalized_residual_energy,normalized_residual_l2
cube,gmm,4,2,3,489681,117397,3.5320026389353725,3.6923799936343165,0.9565653169566959,0.978041572202683
cube,kmeanspp,4,0,0,395648,99589,3.62893617702376,3.796540652709712,0.9558533699444711,0.977677538836027
cube,kmeanspp,4,0,1,411390,101212,7.382357984081653,7.578406044376143,0.9741306998930237,0.9869805975261234
cube,kmeanspp,4,0,2,383704,97414,2.6585977481873404,2.826125344670883,0.9407218095264447,0.9699081448912803
cube,kmeanspp,4,0,3,393308,97887,2.772802754954722,2.8995308800989954,0.9562935763112318,0.9779026415299387
cube,kmeanspp,4,1,0,350194,90430,2.2073841604866464,2.3800855883999867,0.9274389842302104,0.9630363358826137
cube,kmeanspp,4,1,1,398719,97160,2.7186653319661462,2.856691359790989,0.9516832550524669,0.9755425439479648
cube,kmeanspp,4,1,2,424682,107983,8.973239711595511,9.162927033467392,0.9792983921863557,0.9895950647544458
cube,kmeanspp,4,1,3,410455,100529,2.066779765248952,2.2085393377126343,0.9358129737410512,0.9673742676653392
cube,kmeanspp,4,2,0,402531,101490,1.964953153577202,2.090818944348241,0.9398007220513901,0.9694331962808939
cube,kmeanspp,4,2,1,400452,95292,6.3709332340398275,6.551492919845053,0.9724399174334304,0.9861236826247661
cube,kmeanspp,4,2,2,361968,93117,2.187795087842611,2.351045871116134,0.9305624848586976,0.9646566668295501
cube,kmeanspp,4,2,3,419099,106203,5.921898160290577,6.109294999685761,0.9693259468719675,0.9845435220811559
