task,method,num_clusters,partition_seed,region_i,region_j,pi_i,pi_j,energy_i,energy_j,bures_squared,normalized_bures,q_ij,weight,fixed_action_factor_distance_squared,orthogonal_relaxation_gap,intercept_distance_squared
pusht,gmm,4,0,0,2,0.3372597187573562,0.2956046138206838,0.07825557873546943,0.05882386366305979,0.0743149202929965,0.5421303077447728,0.2710651538723864,0.19203841858421639,0.07432280925542428,7.888962427787805e-06,0.011465744176552793
pusht,gmm,4,0,0,3,0.3372597187573562,0.17301564548645404,0.07825557873546943,0.12327279265402505,0.15138694583312215,0.7511942104694339,0.37559710523471695,0.16524417382858644,0.1529459531658372,0.001559007332715051,0.027997029617248075
pusht,gmm,4,0,1,2,0.19412002193550593,0.2956046138206838,0.1520486744700363,0.05882386366305979,0.11308620565903194,0.5362775383661171,0.26813876918305857,0.17003631144548634,0.11308999988843352,3.794229401582472e-06,0.03446533246291041
pusht,gmm,4,0,1,3,0.19412002193550593,0.17301564548645404,0.1520486744700363,0.12327279265402505,0.2110176480452865,0.7664409544577968,0.3832204772288984,0.12993791513502234,0.21191894898309735,0.0009013009378108505,0.05499263686217071
pusht,gmm,4,0,2,3,0.2956046138206838,0.17301564548645404,0.05882386366305979,0.12327279265402505,0.08590226491929642,0.47173993557418675,0.23586996778709338,0.13086956742640687,0.08624047649252972,0.0003382115732332991,0.030723662591644132
pusht,gmm,4,1,0,1,0.23530213704606237,0.1661132378849508,0.08633191099205115,0.21003655961592355,0.21469791595584484,0.7244290039200538,0.3622145019600269,0.14640235869710153,0.21559629615316728,0.0008983801973224403,0.03763855317056358
pusht,gmm,4,1,0,2,0.23530213704606237,0.3283202548797076,0.08633191099205115,0.0639318475227733,0.09755737837872439,0.6492409037479238,0.3246204518739619,0.14671136403300053,0.09764973651353154,9.235813480715227e-05,0.011300457428838154
pusht,gmm,4,1,0,3,0.23530213704606237,0.27026437018927923,0.08633191099205115,0.10342732591754533,0.10001411453418685,0.5270579507116945,0.26352897535584724,0.15251183673087157,0.10088745226434201,0.0008733377301551604,0.02051451049765801
pusht,gmm,4,1,1,2,0.1661132378849508,0.3283202548797076,0.21003655961592355,0.0639318475227733,0.18126915210510292,0.6616425375402324,0.3308212687701162,0.18883755302986813,0.18161019300577494,0.00034104090067202386,0.03782369324925197
pusht,gmm,4,1,1,3,0.1661132378849508,0.27026437018927923,0.21003655961592355,0.10342732591754533,0.2296891375310882,0.7327451363023574,0.3663725681511787,0.17785517687716804,0.23245917371939598,0.0027700361883077895,0.044188223279990405
pusht,gmm,4,1,2,3,0.3283202548797076,0.27026437018927923,0.0639318475227733,0.10342732591754533,0.09466089587599197,0.5656152210249094,0.2828076105124547,0.18768171063199016,0.09502229861558975,0.0003614027395977826,0.013824532113019015
pusht,gmm,4,2,0,1,0.2352232323484712,0.3009092012959658,0.07293288588839211,0.07786211479788938,0.07990713457082871,0.5299057276909992,0.2649528638454996,0.16035284398718233,0.08034417622422957,0.0004370416534008603,0.01054597965801421
pusht,gmm,4,2,0,2,0.2352232323484712,0.17891903194456682,0.07293288588839211,0.11659468019630514,0.10485981708026437,0.5532694754989043,0.27663473774945213,0.11983486212003122,0.10572938601522427,0.0008695689349599023,0.03263899011983998
pusht,gmm,4,2,0,3,0.2352232323484712,0.28494853441099616,0.07293288588839211,0.09783386447810952,0.10282744785820869,0.6021514588613954,0.3010757294306977,0.17195863814210577,0.10295835487388152,0.00013090701567283758,0.01911178907118617
pusht,gmm,4,2,1,2,0.3009092012959658,0.17891903194456682,0.07786211479788938,0.11659468019630514,0.08039608007853502,0.413439294219239,0.2067196471096195,0.15728567589229178,0.08067885741381237,0.0002827773352773455,0.028266872619337906
pusht,gmm,4,2,1,3,0.3009092012959658,0.28494853441099616,0.07786211479788938,0.09783386447810952,0.10128779111630092,0.5764946445199468,0.2882473222599734,0.22632772618642846,0.10148467004161925,0.0001968789253183334,0.013972921131167534
pusht,gmm,4,2,2,3,0.17891903194456682,0.28494853441099616,0.11659468019630514,0.09783386447810952,0.14963125434100313,0.6978140646722253,0.34890703233611264,0.16424025367196035,0.15070318698123997,0.0010719326402368334,0.03368310984221212
pusht,kmeanspp,4,0,0,1,0.23402125078849903,0.2935342422277777,0.07791498397528597,0.07652135862445297,0.04592833015774672,0.29739327793317194,0.14869663896658597,0.18029131620377314,0.04599828953776331,6.995938001658902e-05,0.017484695666992487
pusht,kmeanspp,4,0,0,2,0.23402125078849903,0.21381025085995162,0.07791498397528597,0.07847592765183356,0.08670065715164009,0.5543842429818373,0.27719212149091865,0.13298619630161154,0.08686470139795145,0.00016404424631136227,0.024334056901574593
