task,partition_seed,train_seed,eval_seed,regional_percent,global_percent,delta_pp,regional_source,regional_sha256,global_source,global_sha256
pusht,1,0,3,40.0,42.0,-2.0,experiments/pusht/matrix_k4_long/eval/kmeanspp/partition1_train0/eval3/results.json,a7dccc1da7b4eec88159a641729edfc8121b638a0ac42b1355598ebc9e223554,experiments/pusht/matrix_k4_long/eval/global/train0/eval3/results.json,0daaa535179f379e7516bb945e14f048436d6c274e4814e9abcb43ecf2c66d2a
pusht,1,0,4,50.0,50.0,0.0,experiments/pusht/matrix_k4_long/eval/kmeanspp/partition1_train0/eval4/results.json,df5e23c343e69a52e7627be9530bed0bb4df0d005414f737ad7cbe257f979656,experiments/pusht/matrix_k4_long/eval/global/train0/eval4/results.json,a3735fe937a454484b5cb121b995277036874b1a3f3938891001395b9f0cc44f
pusht,1,42,0,28.000000000000004,36.0,-7.9999999999999964,experiments/pusht/matrix_k4_long/eval/kmeanspp/partition1_train42/eval0/results.json,9ae4222b57544a5d227617d1761ae0494e6ea0aa2e29f282df6842ed62964c49,experiments/pusht/matrix_k4_long/eval/global/train42/eval0/results.json,fb3110ba63fce26d73af27144efc08cba96675a37d29990a76bcdd7283934b69
pusht,1,42,1,26.0,30.0,-4.0,experiments/pusht/matrix_k4_long/eval/kmeanspp/partition1_train42/eval1/results.json,5b7896292abfc7163ad9e59a182c363bc7f27971620ccca6f338f85496d66163,experiments/pusht/matrix_k4_long/eval/global/train42/eval1/results.json,081da2feab900a289c0c702ca28ba2280d0d8accb539e78e19eadd967085b6d9
pusht,1,42,2,42.0,46.0,-4.0,experiments/pusht/matrix_k4_long/eval/kmeanspp/partition1_train42/eval2/results.json,8ea94c2ca364f37318bc7fc43619a144229674a9cd35a8ca68bc7ed4656cfd84,experiments/pusht/matrix_k4_long/eval/global/train42/eval2/results.json,d1d039d9a89601eff9b53c9d0dec84597193c81810f2055f972eecfb810c9dc5
pusht,1,42,3,44.0,44.0,0.0,experiments/pusht/matrix_k4_long/eval/kmeanspp/partition1_train42/eval3/results.json,4408fe778f5e3ee97a20854354dac5e1fc57c496996ca369c42432f9ec8b87b2,experiments/pusht/matrix_k4_long/eval/global/train42/eval3/results.json,32d4e26bc5cd9596034ea817382fcf3bb58738b505457a54af555440387cf35d
pusht,1,42,4,44.0,48.0,-4.0,experiments/pusht/matrix_k4_long/eval/kmeanspp/partition1_train42/eval4/results.json,19a7407a08cc08fe17c7594822302d2267ea9fc93745667441900e414731adbd,experiments/pusht/matrix_k4_long/eval/global/train42/eval4/results.json,d55929893eba05c48a3a9904e68b343923ac698c547038a3f3aae9f1186e64ff
pusht,1,625,0,32.0,32.0,0.0,experiments/pusht/matrix_k4_long/eval/kmeanspp/partition1_train625/eval0/results.json,f4873774d8962cc35b82602c8664377afdb663389e90be7c6f246d4d8ef278ca,experiments/pusht/matrix_k4_long/eval/global/train625/eval0/results.json,1eb1eb72446c28f8be48340d7ff3a091b4038cf4c7f55dbc925b65f2faca0add
pusht,1,625,1,28.000000000000004,28.000000000000004,0.0,experiments/pusht/matrix_k4_long/eval/kmeanspp/partition1_train625/eval1/results.json,47c59ef8aee3bdef3df492a07b335a2fb0c4a59e81142620917c4d148861a8d0,experiments/pusht/matrix_k4_long/eval/global/train625/eval1/results.json,efe25a149c23928ed0e98c45ae51f66676ef5e323d8e4cd63ac518d242915203
pusht,1,625,2,40.0,42.0,-2.0,experiments/pusht/matrix_k4_long/eval/kmeanspp/partition1_train625/eval2/results.json,86951bedf398e9a692d2e2f46abbff043ba5fd6a1cf469fd588d9b3881b280ad,experiments/pusht/matrix_k4_long/eval/global/train625/eval2/results.json,3ce8dc58f4374523f8389f678b16f91a7e115e3943e10796bcd2fc087b7900b0
pusht,1,625,3,40.0,42.0,-2.0,experiments/pusht/matrix_k4_long/eval/kmeanspp/partition1_train625/eval3/results.json,3cbb752f81149694b6a9a923935b30c31f1fd8065885150e90e7b8b6f79162af,experiments/pusht/matrix_k4_long/eval/global/train625/eval3/results.json,918442b45783669597591f6fff9ada83a19833a65c4825db5d4911cb443fd572
pusht,1,625,4,44.0,56.00000000000001,-12.000000000000007,experiments/pusht/matrix_k4_long/eval/kmeanspp/partition1_train625/eval4/results.json,dea5d3cc6e812bc64c89c278f35683bffdfb02fc67a8210ddc8608081441b57e,experiments/pusht/matrix_k4_long/eval/global/train625/eval4/results.json,51ca0265a7e5b4a1f70aa2759b434fb942d280c73bac19c93936080268719106
pusht,2,0,0,28.000000000000004,34.0,-5.9999999999999964,experiments/pusht/matrix_k4_long/eval/kmeanspp/partition2_train0/eval0/results.json,1d4f229da3b4bcd56e8cb934de5d6af0c3312849770e4e6d526e61b36e624fe9,experiments/pusht/matrix_k4_long/eval/global/train0/eval0/results.json,2b1bb1c76ea6f76b589ed445e1a6a495d22e13003d18e518d272f05b24cc4c85
pusht,2,0,1,30.0,30.0,0.0,experiments/pusht/matrix_k4_long/eval/kmeanspp/partition2_train0/eval1/results.json,8c55037fe2d14bee39c78bb9871e406b08623c21276f775b92af26f0019eb7fe,experiments/pusht/matrix_k4_long/eval/global/train0/eval1/results.json,d5c2db8b30696a8aeb8af6d023a9906412a3e51945ee645e54bcbaee4fe54f42
pusht,2,0,2,44.0,46.0,-2.0,experiments/pusht/matrix_k4_long/eval/kmeanspp/partition2_train0/eval2/results.json,ac22336a5d59aa514c1db365b0f7ac7a1041cdf140eccea349a5413c7cfa4230,experiments/pusht/matrix_k4_long/eval/global/train0/eval2/results.json,4ad29404dd365e6f18e07d50e8c39d40c84ae0cce049ef9b270feca069df71ee
pusht,2,0,3,42.0,42.0,0.0,experiments/pusht/matrix_k4_long/eval/kmeanspp/partition2_train0/eval3/results.json,0d722776600944445d618914efcec6d0ee92bdd10f1b9f7e9f62dc461db28f53,experiments/pusht/matrix_k4_long/eval/global/train0/eval3/results.json,0daaa535179f379e7516bb945e14f048436d6c274e4814e9abcb43ecf2c66d2a
pusht,2,0,4,46.0,50.0,-4.0,experiments/pusht/matrix_k4_long/eval/kmeanspp/partition2_train0/eval4/results.json,2a439fd3ae649b59de812eeea96abe54185237f18e109ab897137763142c078d,experiments/pusht/matrix_k4_long/eval/global/train0/eval4/results.json,a3735fe937a454484b5cb121b995277036874b1a3f3938891001395b9f0cc44f
pusht,2,42,0,28.000000000000004,36.0,-7.9999999999999964,experiments/pusht/matrix_k4_long/eval/kmeanspp/partition2_train42/eval0/results.json,17e72a1901fc94f144429c60b7b1d3516a93cfd033ec1e9cde78a41fff03d788,experiments/pusht/matrix_k4_long/eval/global/train42/eval0/results.json,fb3110ba63fce26d73af27144efc08cba96675a37d29990a76bcdd7283934b69
