outer_seed,inner_restart,inner_seed,objective_final,niter,converged,cluster_frac_min,cluster_frac_mid,cluster_frac_max,fit_sec
4,43,400043,0.1578327864408493,116,1,0.33115464817312523,0.3330497305223678,0.33579562130450696,0.5133601208217442
4,44,400044,0.1580933928489685,250,1,0.3100053532778659,0.33652661304594916,0.35346803367618496,1.1054402897134423
4,45,400045,0.1561446189880371,67,1,0.3156004629980774,0.31994244401867383,0.36445709298324874,0.29630862921476364
4,46,400046,0.15646715462207794,130,1,0.322087052872138,0.32613333948905326,0.3517796076388087,0.5741626946255565
4,47,400047,0.15353423357009888,162,1,0.31676675207728067,0.3255738285170321,0.35765941940568724,0.7145276260562241
4,48,400048,0.15225134789943695,160,1,0.3073012334523806,0.3296420998479757,0.36305666669964376,0.7068108897656202
4,49,400049,0.15433593094348907,138,1,0.32303679251816214,0.3349140342719707,0.34204917320986716,0.6104665799066424
5,0,500000,0.15599651634693146,98,1,0.3135767700717691,0.33550102613652727,0.35092220379170364,0.4340102830901742
5,1,500001,0.15506963431835175,186,1,0.3329057306454822,0.3332783715482625,0.3338158978062553,0.8226441759616137
5,2,500002,0.1556156426668167,147,1,0.30355723665335493,0.3328309826177859,0.36361178072885925,0.6502618291415274
5,3,500003,0.1551549881696701,109,1,0.3182628118669089,0.33310469230743867,0.3486324958256524,0.4824695601128042
5,4,500004,0.15735211968421936,146,1,0.32974872571101316,0.3315250906045027,0.3387261836844842,0.6441181362606585
5,5,500005,0.15573833882808685,148,1,0.32488900467504944,0.3351404768264626,0.33997051849848803,0.6545496569015086
5,6,500006,0.15760645270347595,103,1,0.30414752622501573,0.32771404042769064,0.3681384333472936,0.4559178971685469
5,7,500007,0.156614288687706,111,1,0.3159049512873699,0.3364254833614188,0.3476695653512113,0.4915743307210505
5,8,500008,0.1571757197380066,151,1,0.3255661338671222,0.32738866666007127,0.34704519947280654,0.6676206779666245
5,9,500009,0.15460491180419922,81,1,0.31204333626829267,0.31430666257750983,0.3736500011541975,0.358941915910691
5,10,500010,0.1560954600572586,124,1,0.30435748024398634,0.3174779575760973,0.3781645621799163,0.5487041189335287
