preprocess,seed_a,seed_b,ari,nmi,label_agreement,centroid_cosine,restart_budget
zscore_kmeanspp_R1,6,9,0.08375775739107404,0.07903931213016198,0.458237287613922,0.27379410217205685,1
zscore_kmeanspp_R1,6,10,0.16570050540426404,0.14478233970351426,0.5890133590114793,0.5241627593835195,1
zscore_kmeanspp_R1,6,11,0.07125974645013308,0.06883000826240018,0.44959729500078593,0.2654939293861389,1
zscore_kmeanspp_R1,6,12,0.17900889216117152,0.1852366423682595,0.5239034299451591,0.36084963877995807,1
zscore_kmeanspp_R1,6,13,0.04086874168766783,0.036728359602168525,0.43962722718893554,0.21504736691713333,1
zscore_kmeanspp_R1,6,14,0.13620826883600295,0.14178540154632374,0.5301965543357703,0.3967415889104207,1
zscore_kmeanspp_R1,6,15,0.12156004425653391,0.11618321639381264,0.482972289367203,0.3090539773305257,1
zscore_kmeanspp_R1,6,16,0.0956786356447051,0.08997053431008434,0.4853466384822633,0.33551854888598126,1
zscore_kmeanspp_R1,6,17,0.2491348704028299,0.21131811729771482,0.6614518924991454,0.6463682452837626,1
zscore_kmeanspp_R1,6,18,0.12583185496788246,0.11788798965289926,0.5134485991889839,0.38193278511365253,1
zscore_kmeanspp_R1,6,19,0.029148861646649885,0.026811299935988492,0.4115912206242999,0.1790422648191452,1
zscore_kmeanspp_R1,7,8,0.1896134296167215,0.19335670010911654,0.5710012828080635,0.4881448249022166,1
zscore_kmeanspp_R1,7,9,0.21830223520666828,0.20842238026216192,0.6200151034985375,0.59027960896492,1
zscore_kmeanspp_R1,7,10,0.16408709816574932,0.1563608840927832,0.5660096534879299,0.4866121808687846,1
zscore_kmeanspp_R1,7,11,0.22015834388408656,0.19728846780809217,0.6309459033134261,0.592858612537384,1
zscore_kmeanspp_R1,7,12,0.10184286904744301,0.09083615544648112,0.5288324028303121,0.4242994785308838,1
zscore_kmeanspp_R1,7,13,0.1377773382298742,0.15865038885347782,0.4553715801403284,0.2860541145006816,1
zscore_kmeanspp_R1,7,14,0.384172427720953,0.33168522503680814,0.7359976608264274,0.7424890001614889,1
zscore_kmeanspp_R1,7,15,0.7572011769641419,0.7055417419241184,0.913502241891213,0.951034148534139,1
zscore_kmeanspp_R1,7,16,0.22115108009238577,0.1935137821154792,0.6331575655446768,0.6002341608206431,1
zscore_kmeanspp_R1,7,17,0.13663680090103897,0.1313618195824197,0.5232636747669346,0.40598996977011365,1
zscore_kmeanspp_R1,7,18,0.14481703352970673,0.14994636764304536,0.5274220834253943,0.4243408491214116,1
zscore_kmeanspp_R1,7,19,0.1606399669757637,0.1455763839830124,0.5710969163140868,0.47709142168362934,1
zscore_kmeanspp_R1,8,9,0.4724082596763554,0.4038410107815104,0.7835934674620736,0.811275859673818,1
zscore_kmeanspp_R1,8,10,0.2051894961921297,0.20073729953453318,0.5809669536771083,0.47751779357592267,1
zscore_kmeanspp_R1,8,11,0.29298998958166705,0.26007691790338033,0.6860077188330953,0.6597752571105957,1
zscore_kmeanspp_R1,8,12,0.14642456259903971,0.13443685901346444,0.5681432699843798,0.4907456735769908,1
zscore_kmeanspp_R1,8,13,0.22822093332423402,0.21182537646621144,0.6287188517823558,0.5671513974666595,1
zscore_kmeanspp_R1,8,14,0.13376649918917588,0.1356836968877736,0.5024397536392946,0.3671112060546875,1
zscore_kmeanspp_R1,8,15,0.23097809016353188,0.22277529624126968,0.6006630589750946,0.5232879320780436,1
zscore_kmeanspp_R1,8,16,0.15609335440714114,0.1615193205360457,0.5144467052058703,0.34459049503008526,1
zscore_kmeanspp_R1,8,17,0.13034749473177354,0.13494747973597157,0.5065399028055793,0.3631703555583954,1
zscore_kmeanspp_R1,8,18,0.35378253407781673,0.3200356837948342,0.7249360519630701,0.7104223370552063,1
zscore_kmeanspp_R1,8,19,0.07991840381043841,0.07663148919004201,0.5006875719312363,0.301129013299942,1
zscore_kmeanspp_R1,9,10,0.13921888306227947,0.12473719300311122,0.5696503221310223,0.49330729246139526,1
zscore_kmeanspp_R1,9,11,0.31741811943175813,0.28920850972499673,0.6959821835877514,0.702649195988973,1
zscore_kmeanspp_R1,9,12,0.2153512502657513,0.20146184046061696,0.6282879513874003,0.5893511176109314,1
zscore_kmeanspp_R1,9,13,0.35491047193983405,0.3367745911750956,0.7170853105835513,0.7235803802808126,1
zscore_kmeanspp_R1,9,14,0.11789986220322173,0.1252031969972495,0.4892302382153689,0.3535636042555173,1
zscore_kmeanspp_R1,9,15,0.24537957740948946,0.21373055055209017,0.6504848179061099,0.6245386600494385,1
zscore_kmeanspp_R1,9,16,0.1319619078464929,0.14636090075161207,0.4893786350350601,0.3163785735766093,1
zscore_kmeanspp_R1,9,17,0.0833640339144549,0.08052497770348477,0.47352435851352553,0.3144957299033801,1
zscore_kmeanspp_R1,9,18,0.2722013350003827,0.2477671893030909,0.6681220547353425,0.6448923548062643,1
zscore_kmeanspp_R1,9,19,0.06876052840325801,0.06712018989155057,0.46689706646968365,0.2545531739791234,1
zscore_kmeanspp_R1,10,11,0.17991966490621333,0.15831405986306338,0.5968157340201358,0.5503008464972178,1
zscore_kmeanspp_R1,10,12,0.08217717645455348,0.07633331269576885,0.4821896335477942,0.3434775074323018,1
zscore_kmeanspp_R1,10,13,0.1517096186910206,0.15798307966773872,0.5502993768432809,0.4354923168818156,1
zscore_kmeanspp_R1,10,14,0.17008982346437374,0.16814740853725943,0.5508281092156624,0.4558556377887726,1
