model,task,num_clusters,partition_seed,region,transition_count,episode_count,heldout_affine_mse,heldout_affine_mse_cluster_se,heldout_affine_mse_upper95,heldout_affine_l2,heldout_affine_l2_upper95
subjepa,reacher,4,1,2,488246,5575,10.819123873544669,0.021848104796472007,10.855060807372324,3.2892436628417587,3.2947019299736846
subjepa,reacher,4,1,3,509237,5796,11.188863541739238,0.025652312442109762,11.231057840207967,3.3449758656437623,3.3512770461732893
subjepa,reacher,4,2,0,503695,5806,10.881975368225303,0.02257608800774466,10.919109727858759,3.2987839226335063,3.3044076213231866
subjepa,reacher,4,2,1,506439,5741,11.144068982746337,0.02598966904822763,11.186818183443123,3.338273353508717,3.3446701157876726
subjepa,reacher,4,2,2,499643,5707,10.844144699131215,0.021778519701189228,10.879967175664387,3.293044897831066,3.298479524821154
subjepa,reacher,4,2,3,470375,5477,10.685904208808594,0.02035549180026844,10.719386012776036,3.268930132139351,3.274047344308881
subjepa,tworoom,2,0,0,447378,9462,16.21881374892175,0.044675367614737636,16.292298188174176,4.027258838083511,4.036371909050772
subjepa,tworoom,2,0,1,444085,9548,18.27255544097063,0.059852694336687884,18.371004360720033,4.2746409721718885,4.286140963701501
subjepa,tworoom,2,1,0,450483,9485,16.208691354831334,0.044838425925314895,16.282444001132923,4.026001906958234,4.035151050596857
subjepa,tworoom,2,1,1,440980,9512,18.297987326273716,0.060197889507797975,18.39700404154302,4.277614677162228,4.289172885480721
subjepa,tworoom,2,2,0,441882,9518,18.28020321717395,0.06025165075994937,18.379308361832393,4.275535430466452,4.287109557946052
subjepa,tworoom,2,2,1,449581,9487,16.22324036351093,0.044631672732611524,16.296652931079187,4.0278083821739745,4.036911310776989
subjepa,tworoom,3,0,0,307374,8617,13.51857272015018,0.041129730838788466,13.586225105987392,3.6767611725743325,3.6859496884775016
subjepa,tworoom,3,0,1,271397,7717,13.457073575212618,0.04635949663309044,13.533328160143745,3.6683884166228387,3.67876720657121
subjepa,tworoom,3,0,2,312692,9676,21.664304992004112,0.05907140270851052,21.761468801406256,4.6544929897899845,4.66491894907149
subjepa,tworoom,3,1,0,272015,7685,13.563304622971616,0.04650989860343965,13.63980659712512,3.6828392067766975,3.693210879048896
subjepa,tworoom,3,1,1,308398,8671,13.53153347430887,0.04136695949532817,13.599576066555816,3.6785232735853217,3.687760304921649
subjepa,tworoom,3,1,2,311050,9670,21.58229530635351,0.05861969771042774,21.67871612716342,4.645674903214119,4.656040821037055
subjepa,tworoom,3,2,0,307702,8719,13.417070082467976,0.04132827566786527,13.485049045482057,3.6629318970556874,3.6721994833453775
subjepa,tworoom,3,2,1,305740,9666,21.76017207001715,0.0586535958063986,21.856648648232248,4.664779959442583,4.675109479812451
