model,task,num_clusters,partition_seed,transition_count,episode_count,q_full,fold_q_min,fold_q_max,heldout_affine_mse,heldout_affine_mse_cluster_se,heldout_affine_mse_upper95,heldout_affine_l2,heldout_affine_l2_upper95,response_scale,normalized_affine_l2,normalized_affine_l2_upper95,q_bootstrap_mean,q_ci_low,q_ci_high,epsilon_q_95,epsilon_score_95,bootstrap_valid,bootstrap_failures
subjepa,reacher,3,2,1980152,10000,0.1973966449412155,0.19599915217349628,0.19965689160753483,10.896677553126384,0.012387468714606619,10.917053125636492,3.301011595424406,3.3040964159110873,0.09522587757738195,10.697186264808616,10.707182866876074,0.19874911688676222,0.19101307050614813,0.2072444826506063,0.008427397600954945,0.01685479520190989,500,0
subjepa,reacher,4,0,1980152,10000,0.2320528366355797,0.2300661403366086,0.23548400028927685,10.892689896857673,0.012563513428284212,10.913355037148834,3.300407534965595,3.3035367467532177,0.11547913991196324,9.712159356305705,9.7213677353374,0.23250465752979863,0.2249701034158045,0.23955323034737494,0.007267661713990916,0.014535323427981832,500,0
subjepa,reacher,4,1,1980152,10000,0.24149159716798851,0.24022798551953375,0.24319376668951143,10.892618022929707,0.012575955220762066,10.913303628148016,3.300396646303245,3.303528965840623,0.11566791651826513,9.704198706197941,9.713408705619093,0.24119060174338672,0.23291510079683886,0.24797840240534036,0.007608461076370987,0.015216922152741974,500,0
subjepa,reacher,4,2,1980152,10000,0.2362311355817892,0.2345364276264835,0.23805777912983642,10.892886463654143,0.012586518966098774,10.913589444687,3.300437314001607,3.30357222483284,0.11524858131593553,9.721956969218626,9.731191341910476,0.23731790760787902,0.22744848532037032,0.246200734210058,0.009374859578692128,0.018749719157384256,500,0
subjepa,tworoom,2,0,891463,10000,0.25362228731728553,0.252765189983602,0.2546654145994833,17.241891408133103,0.038365454756920415,17.304996964505662,4.15233565696863,4.159927519140888,0.8822500943335769,4.4207565189827935,4.4288391445125725,0.25386935403680555,0.2495093037301644,0.25851657580385834,0.00455613545575205,0.0091122709115041,500,0
subjepa,tworoom,2,1,891463,10000,0.2526372089147947,0.2517703086442185,0.2536505209358771,17.242203387845226,0.03838073990600665,17.305334086050284,4.152373223572903,4.1599680390659595,0.8847322387899317,4.414590815724335,4.422665235078652,0.25269012492347864,0.24837518974786058,0.2569495382804405,0.004286115688525203,0.008572231377050406,500,0
subjepa,tworoom,2,2,891463,10000,0.25245558146570224,0.25154787220540314,0.25360528855857917,17.242839449173847,0.03839159692525448,17.3059880055861,4.152449812962686,4.1600466350253935,0.8831295121048712,4.418676357471236,4.426760235555834,0.25255342577941714,0.24794626316827112,0.256867550124288,0.004457619248206612,0.008915238496413224,500,0
subjepa,tworoom,3,0,891463,10000,0.27659457728612596,0.2738667691386131,0.2795779513319732,16.357069250137325,0.03506858283724777,16.41475193486407,4.044387376369544,4.051512302198288,2.307994310597416,2.662167512189592,2.6668574056896226,0.2765579194322085,0.27019894906171243,0.2827721971685801,0.006226205397116951,0.012452410794233901,500,0
subjepa,tworoom,3,1,891463,10000,0.27731132696664046,0.2746593075039209,0.2805123400465675,16.35030631946451,0.035034880878239937,16.407933569402655,4.043551201538632,4.0506707554925585,2.3197608077012215,2.654858283441581,2.6595327405825713,0.27738290645540237,0.2702985306322754,0.2840368087236189,0.006889798521605602,0.013779597043211205,500,0
subjepa,tworoom,3,2,891463,10000,0.28915084408860137,0.2866431887150254,0.2921037261467165,16.37277195052403,0.03504758975315555,16.43042010470083,4.046328205981817,4.053445460925905,2.3010720174350947,2.6674482388681398,2.6721401244987018,0.28932244473936314,0.2832226756954939,0.29617449492009196,0.006562395674968589,0.013124791349937178,500,0
subjepa,tworoom,4,0,891463,10000,0.26676621422856417,0.2656612884573186,0.2678474160602267,15.818416957399043,0.03381781533773127,15.874042312701445,3.9772373524092126,3.984224179523718,3.4320562131702683,2.1468629109283155,2.1506343126999785,0.2667617740379859,0.2638988486146316,0.2696253799751633,0.002915435402605182,0.005830870805210364,500,0
subjepa,tworoom,4,1,891463,10000,0.26939111315503533,0.2684520833846126,0.27036941463083497,15.840658748700994,0.033734458244516104,15.896146993788536,3.9800325059854718,3.9869972402534386,3.408635658089877,2.1557397392196576,2.159512109021156,0.26933868093886193,0.26657354236526815,0.27196105965281026,0.002684542885101769,0.005369085770203538,500,0
subjepa,tworoom,4,2,891463,10000,0.2728435500760174,0.2716758854847041,0.27383265278372004,15.838113554284321,0.03353458225591354,15.893273032632457,3.9797127477098546,3.9866368072138774,3.4451711659663427,2.144106356314377,2.1478367562038208,0.27275947936701367,0.2693308912020846,0.2759543302393225,0.003249684831118112,0.006499369662236224,500,0
